transaction_id,customer_id,timestamp,amount,transaction_country,txn_velocity_1h,txn_velocity_24h,is_new_payee,card_present,account_age_days,chargeback_history,prior_alerts,device_id,ip_country,merchant_id,merchant_category,merchant_country,merchant_risk_level,country_mismatch_flag,true_fraud,rule_score,triggered_rules,rule_alert_level,rule_score_normalized
T000044,C0047,2026-01-01 03:26:00,194.09,MY,1,3,0,1,83,0,1,D0186,PH,M028,Telecom,VN,Low,1,0,25,"['Country Mismatch', 'New Account']",Low,0.45454545454545453
T000344,C0222,2026-01-01 05:01:00,14.89,SG,0,6,0,1,1409,0,1,D0151,SG,M034,Telecom,SG,Low,0,0,0,[],Low,0.0
T000901,C0250,2026-01-01 06:24:00,15.05,TH,3,4,1,1,696,0,0,D0122,SG,M050,Luxury Goods,ID,High,1,1,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000902,C0117,2026-01-01 06:44:00,20.68,SG,0,5,0,1,1436,1,0,D0135,SG,M025,Travel,SG,Medium,0,0,0,[],Low,0.0
T000615,C0047,2026-01-01 06:52:00,31.52,SG,1,6,1,1,1676,1,1,D0028,VN,M021,Luxury Goods,ID,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000656,C0081,2026-01-01 12:08:00,13.67,SG,1,4,0,1,164,0,0,D0019,PH,M029,Money Transfer,TH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000148,C0225,2026-01-01 14:14:00,79.09,SG,0,3,0,1,1555,0,0,D0083,SG,M001,Gaming,PH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000878,C0082,2026-01-01 16:55:00,7.85,SG,0,5,0,1,664,0,1,D0048,SG,M031,Digital Services,VN,Medium,0,0,0,[],Low,0.0
T000692,C0082,2026-01-01 17:42:00,18.51,TH,1,2,0,1,419,0,0,D0022,SG,M015,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000479,C0036,2026-01-01 19:10:00,18.97,SG,1,2,0,1,1240,1,1,D0279,SG,M042,Gaming,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000964,C0156,2026-01-01 20:52:00,24.32,SG,0,7,0,1,1073,0,1,D0237,SG,M011,Electronics,PH,Medium,0,0,0,[],Low,0.0
T000742,C0004,2026-01-01 22:04:00,27.23,SG,5,3,0,0,1561,1,0,D0337,SG,M020,Electronics,SG,Medium,0,0,20,['High Transaction Velocity (1h)'],Low,0.36363636363636365
T000717,C0219,2026-01-02 01:42:00,16.94,SG,2,4,0,1,1861,0,0,D0199,VN,M022,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000210,C0145,2026-01-02 06:02:00,44.78,SG,3,6,0,0,558,1,0,D0110,SG,M029,Money Transfer,TH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000229,C0254,2026-01-02 10:09:00,170.63,SG,2,2,0,1,1441,1,1,D0189,TH,M034,Telecom,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000266,C0104,2026-01-02 12:40:00,21.43,SG,1,4,0,1,1760,0,1,D0154,SG,M031,Digital Services,VN,Medium,0,0,0,[],Low,0.0
T000404,C0202,2026-01-02 15:28:00,12.26,SG,3,1,0,1,1319,0,0,D0019,PH,M035,Luxury Goods,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000263,C0023,2026-01-02 18:37:00,50.21,PH,2,4,0,1,826,1,1,D0080,ID,M033,Travel,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000081,C0028,2026-01-02 20:53:00,36.29,SG,1,9,0,1,830,1,0,D0341,MY,M029,Money Transfer,TH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000190,C0165,2026-01-02 22:51:00,111.98,SG,3,5,0,1,522,1,0,D0143,SG,M030,Travel,MY,Medium,0,0,0,[],Low,0.0
T000273,C0127,2026-01-02 23:49:00,98.65,MY,1,8,0,1,1293,0,0,D0323,ID,M008,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000199,C0296,2026-01-03 00:31:00,59.03,SG,1,0,1,1,142,1,0,D0386,SG,M043,Telecom,PH,Low,0,0,0,[],Low,0.0
T000444,C0134,2026-01-03 02:51:00,14.89,VN,0,8,0,1,199,0,0,D0221,SG,M041,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000609,C0241,2026-01-03 06:27:00,18.68,SG,4,6,0,1,1678,0,0,D0137,SG,M017,Travel,SG,Medium,0,0,20,['High Transaction Velocity (1h)'],Low,0.36363636363636365
T000497,C0291,2026-01-03 07:43:00,27.09,SG,0,8,0,1,365,0,0,D0257,SG,M043,Telecom,PH,Low,0,0,0,[],Low,0.0
T000590,C0293,2026-01-03 08:13:00,16.85,SG,1,1,0,1,691,0,1,D0392,VN,M025,Travel,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000342,C0113,2026-01-03 09:00:00,163.88,VN,0,4,0,1,1854,1,0,D0130,ID,M022,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000305,C0179,2026-01-03 09:16:00,14.91,SG,1,5,0,1,1487,0,0,D0044,VN,M003,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
